time,open,high,low,close
2022-07-13T20:30:00+03:00,3819.01,3822.37,3797.9,3815.2
2022-07-13T21:30:00+03:00,3815.33,3825.59,3812.58,3814.06
2022-07-13T22:30:00+03:00,3813.93,3815.45,3800.91,3801.77
2022-07-14T16:30:00+03:00,3752.36,3755.03,3721.56,3730.87
2022-07-14T17:30:00+03:00,3730.6,3755.25,3725.31,3752.97
2022-07-14T18:30:00+03:00,3753.09,3770.07,3746.07,3753.33
2022-07-14T19:30:00+03:00,3753.48,3763.28,3743.11,3762.85
2022-07-14T20:30:00+03:00,3762.7,3788.24,3755.85,3788.09
2022-07-14T21:30:00+03:00,3788.12,3795.67,3782.42,3795.67
2022-07-14T22:30:00+03:00,3795.79,3796.41,3782.83,3790.37
2022-07-15T16:30:00+03:00,3832.93,3853.99,3817.18,3853.45
2022-07-15T17:30:00+03:00,3853.38,3859.6,3840.88,3856.16
2022-07-15T18:30:00+03:00,3856.16,3859.9,3846.1,3849.9
2022-07-15T19:30:00+03:00,3850,3857.44,3844.49,3857.41
2022-07-15T20:30:00+03:00,3857.45,3859.28,3849.22,3854.18
2022-07-15T21:30:00+03:00,3854.15,3859.26,3852.24,3853.25
2022-07-15T22:30:00+03:00,3853.13,3863.62,3847.82,3863.17
2022-07-18T16:30:00+03:00,3893.05,3902.44,3884.23,3889.5
2022-07-18T17:30:00+03:00,3889.46,3894.14,3885.06,3888.31
2022-07-18T18:30:00+03:00,3888.35,3896.42,3886.41,3890.16
2022-07-18T19:30:00+03:00,3890.34,3892.81,3877.17,3882.67
2022-07-18T20:30:00+03:00,3882.75,3882.84,3851.29,3851.88
2022-07-18T21:30:00+03:00,3851.73,3858.72,3839.03,3839.03
2022-07-18T22:30:00+03:00,3838.8,3838.83,3818.63,3830.86
2022-07-19T16:30:00+03:00,3869.22,3893.19,3865.509,3891.869
2022-07-19T17:30:00+03:00,3891.851,3906.9,3888.789,3904.659
2022-07-19T18:30:00+03:00,3904.791,3910.53,3899.919,3909.169
2022-07-19T19:30:00+03:00,3909.161,3916.78,3908.959,3912.509
2022-07-19T20:30:00+03:00,3912.491,3934.82,3912.491,3925.739
2022-07-19T21:30:00+03:00,3925.769,3932.941,3922.521,3931.049
2022-07-19T22:30:00+03:00,3931.041,3939.81,3926.869,3936.691
2022-07-20T16:30:00+03:00,3935.32,3947.35,3922.03,3947.169
2022-07-20T17:30:00+03:00,3947.141,3970.79,3946.519,3963.219
2022-07-20T18:30:00+03:00,3963.251,3974.13,3959.589,3966.709
2022-07-20T19:30:00+03:00,3966.621,3971.301,3936.761,3949.879
2022-07-20T20:30:00+03:00,3949.861,3958.001,3936.409,3956.929
2022-07-20T21:30:00+03:00,3956.971,3969.169,3948.691,3968.969
2022-07-20T22:30:00+03:00,3969.001,3969.561,3957.851,3959.899
2022-07-21T16:30:00+03:00,3956.07,3968.22,3927.64,3931.969
2022-07-21T17:30:00+03:00,3931.941,3960.741,3930.041,3959.269
2022-07-21T18:30:00+03:00,3959.281,3984.98,3956.769,3984.479
2022-07-21T19:30:00+03:00,3984.531,3987.43,3974.441,3977.441
2022-07-21T20:30:00+03:00,3977.401,3984.861,3968.471,3983.629
2022-07-21T21:30:00+03:00,3983.681,3990.58,3975.141,3986.899
2022-07-21T22:30:00+03:00,3986.811,3999.29,3984.829,3998.949
2022-07-22T16:30:00+03:00,3998.43,4012.44,3984.01,3995.801
2022-07-22T17:30:00+03:00,3995.871,4002.859,3978.53,3978.53
2022-07-22T18:30:00+03:00,3978.52,3979.919,3961.21,3966.519
2022-07-22T19:30:00+03:00,3966.539,3973.669,3950.86,3953.439
2022-07-22T20:30:00+03:00,3953.411,3953.411,3938.86,3944.489
2022-07-22T21:30:00+03:00,3944.501,3959.901,3939.509,3959.669
2022-07-22T22:30:00+03:00,3959.711,3962.581,3948.331,3961.631
2022-07-25T16:30:00+03:00,3965.72,3971.58,3949.92,3956.939
2022-07-25T17:30:00+03:00,3957.121,3967.631,3950.801,3967.329
2022-07-25T18:30:00+03:00,3967.311,3973.62,3958.979,3963.881
2022-07-25T19:30:00+03:00,3963.961,3975.3,3963.641,3965.759
2022-07-25T20:30:00+03:00,3965.721,3966.701,3951.999,3953.719
2022-07-25T21:30:00+03:00,3953.751,3957.911,3943.46,3947.749
2022-07-25T22:30:00+03:00,3947.561,3968.571,3946.331,3966.839
2022-07-26T16:30:00+03:00,3953.22,3953.22,3934.07,3936.249
2022-07-26T17:30:00+03:00,3936.211,3941.461,3924.16,3924.921
2022-07-26T18:30:00+03:00,3924.811,3925.689,3915.46,3923.259
2022-07-26T19:30:00+03:00,3923.251,3934.321,3919.971,3932.959
2022-07-26T20:30:00+03:00,3932.911,3934.089,3916.679,3916.799
2022-07-26T21:30:00+03:00,3916.749,3920.299,3910.74,3918.779
2022-07-26T22:30:00+03:00,3918.801,3926.141,3914.279,3921.049
2022-07-27T16:30:00+03:00,3955.48,3970.98,3952.549,3968.569
2022-07-27T17:30:00+03:00,3968.651,3979.1,3965.011,3973.009
2022-07-27T18:30:00+03:00,3972.961,3982.17,3972.961,3979.859
2022-07-27T19:30:00+03:00,3979.871,3980.201,3968.619,3973.179
2022-07-27T20:30:00+03:00,3973.291,3986.02,3967.221,3977.749
2022-07-27T21:30:00+03:00,3977.741,4038.72,3967.151,4038.72
2022-07-27T22:30:00+03:00,4039.15,4039.56,4022.241,4023.611
2022-07-28T16:30:00+03:00,4028.011,4038.47,3992.97,3998.519
2022-07-28T17:30:00+03:00,3998.481,4049.18,3994.869,4049.109
2022-07-28T18:30:00+03:00,4049.141,4055.94,4043.181,4053.489
2022-07-28T19:30:00+03:00,4053.541,4062.08,4047.669,4061.749
2022-07-28T20:30:00+03:00,4061.781,4075.2,4061.329,4069.349
2022-07-28T21:30:00+03:00,4069.421,4078.95,4067.449,4076.039
2022-07-28T22:30:00+03:00,4076.081,4076.081,4066.991,4072.429
2022-07-29T16:30:00+03:00,4087.33,4120.67,4079.22,4117.419
2022-07-29T17:30:00+03:00,4117.451,4120.239,4092.031,4093.659
2022-07-29T18:30:00+03:00,4093.711,4109.139,4091.611,4107.159
2022-07-29T19:30:00+03:00,4107.111,4118.001,4105.269,4111.979
2022-07-29T20:30:00+03:00,4111.961,4126.88,4111.899,4126.549
2022-07-29T21:30:00+03:00,4126.581,4137.43,4125.311,4137.379
2022-07-29T22:30:00+03:00,4137.421,4140.15,4128.829,4130.289
2022-08-01T16:30:00+03:00,4112.38,4138.86,4096.02,4114.739
2022-08-01T17:30:00+03:00,4114.891,4144.95,4114.891,4140.259
2022-08-01T18:30:00+03:00,4140.351,4144.161,4124.739,4132.569
2022-08-01T19:30:00+03:00,4132.541,4134.761,4113.051,4113.241
2022-08-01T20:30:00+03:00,4113.081,4117.851,4101.921,4114.451
2022-08-01T21:30:00+03:00,4114.311,4129.301,4110.891,4118.539
2022-08-01T22:30:00+03:00,4118.431,4125.581,4115.539,4118.631
2022-08-02T16:30:00+03:00,4100.88,4108.15,4079.81,4101.519
2022-08-02T17:30:00+03:00,4101.571,4124.79,4099.259,4115.189
2022-08-02T18:30:00+03:00,4115.241,4136.03,4106.451,4135.999
2022-08-02T19:30:00+03:00,4135.941,4140.47,4117.109,4118.689
2022-08-02T20:30:00+03:00,4118.401,4118.401,4100.121,4114.469
2022-08-02T21:30:00+03:00,4114.201,4118.429,4095.541,4104.869
